year,month,sea,mean,n,min,max,std
2021,1,남해,10.368,86535,0.7,18.4,3.313
2021,2,남해,10.43,79612,3.6,17.5,2.849
2021,3,남해,11.888,85246,5.6,17.6,2.038
2021,4,남해,14.216,83382,10.5,19.3,1.354
2021,5,남해,16.638,89341,12.0,22.3,1.373
2021,6,남해,20.252,93923,15.1,28.0,1.867
2021,7,남해,24.418,98476,17.3,31.4,2.035
2021,8,남해,26.249,99389,17.9,33.2,1.681
2021,9,남해,24.215,92767,18.6,29.1,1.085
2021,10,남해,21.995,100566,15.0,26.9,2.142
2021,11,남해,16.549,98037,9.3,22.8,2.123
2021,12,남해,12.622,100773,3.6,19.6,2.556
2022,1,남해,9.924,84004,2.3,17.4,2.973
2022,2,남해,8.663,90549,2.5,15.6,2.507
2022,3,남해,10.396,101827,5.0,17.2,1.989
2022,4,남해,13.634,96793,8.8,19.9,1.803
2022,5,남해,16.459,102087,11.4,23.8,1.746
2022,6,남해,19.753,107544,13.0,28.4,2.143
2022,7,남해,22.956,115748,14.2,31.3,2.796
2022,8,남해,24.072,114102,14.2,32.1,2.697
2022,9,남해,23.537,102344,17.8,28.3,1.197
2022,10,남해,20.214,110473,13.9,26.6,2.065
2022,11,남해,16.668,106905,8.3,22.9,1.789
2022,12,남해,12.052,113397,1.3,21.3,3.3
2023,1,남해,9.43,107064,-1.4,17.6,3.008
2023,2,남해,9.208,97221,1.7,16.3,2.57
2023,3,남해,11.75,114330,5.6,17.7,1.949
2023,4,남해,14.315,115225,9.9,20.1,1.366
2023,5,남해,16.815,125792,12.4,23.7,1.757
2023,6,남해,20.193,123121,14.7,27.7,1.986
2023,7,남해,22.33,125789,13.8,31.4,2.47
2023,8,남해,26.327,125546,16.8,31.8,2.138
2023,9,남해,26.221,123360,20.1,30.8,1.378
2023,10,남해,21.099,127519,15.9,26.5,1.804
2023,11,남해,16.347,121823,7.4,24.0,2.544
2023,12,남해,12.364,127333,2.9,20.2,2.645
2024,1,남해,10.333,124579,1.8,17.6,2.744
2024,2,남해,10.451,114902,4.3,16.8,2.337
2024,3,남해,11.426,123421,4.8,17.0,1.738
2024,4,남해,14.884,122122,10.7,21.0,1.477
2024,5,남해,17.917,128088,14.4,24.7,1.453
2024,6,남해,20.647,124412,14.0,28.4,1.922
2024,7,남해,22.36,126361,13.0,33.1,2.617
2024,8,남해,26.208,126235,14.8,33.8,2.925
2024,9,남해,27.44,124240,20.4,32.9,1.469
2024,10,남해,22.888,128497,18.5,28.8,1.641
2024,11,남해,18.317,127499,8.5,24.3,2.238
2024,12,남해,12.474,130820,3.2,20.9,2.772
2025,1,남해,9.675,113192,2.3,18.2,2.687
2025,2,남해,8.049,98703,1.7,15.5,2.617
2025,3,남해,9.581,111543,4.1,15.9,1.941
2025,4,남해,12.646,107057,8.5,18.5,1.655
2025,5,남해,15.743,109885,11.0,23.0,1.614
2025,6,남해,19.177,110394,13.9,28.5,2.019
2025,7,남해,24.349,116395,15.5,32.0,2.486
2025,8,남해,25.406,121457,16.6,32.6,2.699
2025,9,남해,24.159,117193,16.9,31.6,2.313
2025,10,남해,22.64,120607,-1.0,29.0,1.832
2025,11,남해,17.541,112905,10.1,24.9,2.306
2025,12,남해,13.138,110093,4.8,20.9,2.672
2021,1,동해,12.079,31801,4.5,17.3,1.836
2021,2,동해,11.052,30464,4.1,16.5,1.884
2021,3,동해,11.987,32887,6.4,17.6,1.599
2021,4,동해,12.981,33322,2.1,18.3,2.211
2021,5,동해,14.684,32092,3.8,20.4,1.732
2021,6,동해,18.337,32120,8.0,25.8,2.39
2021,7,동해,23.118,27601,13.6,30.6,2.987
2021,8,동해,24.723,21711,16.0,31.0,2.148
2021,9,동해,23.209,21974,19.0,30.1,0.939
2021,10,동해,21.613,24292,17.3,26.4,1.435
2021,11,동해,17.358,29889,12.8,23.6,1.856
2021,12,동해,14.14,31457,4.0,19.0,1.278
2022,1,동해,12.047,32186,2.9,17.6,2.196
2022,2,동해,10.481,30356,2.6,15.7,2.019
2022,3,동해,10.416,33514,1.9,16.2,1.819
2022,4,동해,11.968,32443,5.4,18.4,1.754
2022,5,동해,14.901,32948,5.6,21.6,1.637
2022,6,동해,17.825,30891,11.2,24.1,2.032
2022,7,동해,22.013,32564,13.3,28.8,2.431
2022,8,동해,22.178,32969,11.0,29.1,3.386
2022,9,동해,22.832,28058,14.8,28.8,1.362
2022,10,동해,19.513,28876,13.0,26.2,1.819
2022,11,동해,17.623,29746,13.4,22.1,1.293
2022,12,동해,14.898,32500,10.5,19.1,1.278
2023,1,동해,12.341,31991,2.9,17.8,1.802
2023,2,동해,11.517,28833,7.4,17.0,1.416
2023,3,동해,12.249,34009,7.0,17.1,1.458
2023,4,동해,13.122,33120,2.7,17.7,1.776
2023,5,동해,14.63,34155,4.8,20.3,2.108
2023,6,동해,18.095,33517,6.0,24.0,2.597
2023,7,동해,19.333,34502,7.3,29.6,3.312
2023,8,동해,24.279,34450,14.3,30.1,2.565
2023,9,동해,24.826,33549,19.0,28.9,1.519
2023,10,동해,21.206,33154,15.9,26.4,1.624
2023,11,동해,16.44,25061,8.8,21.6,1.964
2023,12,동해,13.619,25473,6.0,17.6,1.884
2024,1,동해,11.146,25399,3.1,15.5,2.248
2024,2,동해,9.259,23920,2.9,16.5,3.232
2024,3,동해,10.078,25721,3.0,16.5,2.608
2024,4,동해,13.576,29445,4.1,19.2,1.875
2024,5,동해,14.666,34137,3.6,21.3,2.477
2024,6,동해,18.576,32832,8.5,28.1,2.556
2024,7,동해,19.309,32385,8.5,30.1,4.041
2024,8,동해,24.692,33382,11.0,31.6,4.097
2024,9,동해,25.861,32545,20.0,32.2,1.749
2024,10,동해,22.111,32958,16.9,27.4,1.643
2024,11,동해,18.997,32569,13.8,24.0,1.645
2024,12,동해,14.589,33280,10.9,19.0,1.519
2025,1,동해,12.299,23417,3.9,16.7,1.346
2025,2,동해,10.267,21108,3.8,14.4,2.091
2025,3,동해,10.18,22137,4.5,15.0,1.797
2025,4,동해,11.086,22166,3.0,15.4,1.664
2025,5,동해,13.387,23438,7.3,18.7,1.763
2025,6,동해,16.208,22721,7.1,25.4,2.648
2025,7,동해,21.244,23469,10.4,28.4,3.088
2025,8,동해,21.827,18999,9.3,29.1,3.693
2025,9,동해,23.259,15521,11.4,27.4,2.208
2025,10,동해,21.249,16311,16.2,25.2,1.939
2025,11,동해,17.767,18525,14.2,22.2,1.55
2025,12,동해,14.808,23927,11.7,18.4,1.09
2021,1,서해,5.444,49709,-0.8,14.0,2.215
2021,2,서해,5.163,45911,0.4,11.3,1.831
2021,3,서해,7.284,49520,2.9,14.8,1.934
2021,4,서해,10.951,49745,5.7,19.2,2.021
